SampleName;Replicate;SeqProt;Species;stage_tissue;Stage;Tissue;Experiment;Sex;LibName
F_gametes_1;1;Total;Fs;gamete;gamete;All;RAP;F;Fs_F_gametes_1
F_gametes_2;2;Total;Fs;gamete;gamete;All;RAP;F;Fs_F_gametes_2
F_gametes_3;3;Total;Fs;gamete;gamete;All;RAP;F;Fs_F_gametes_3
M_gametes_1;1;Total;Fs;gamete;gamete;All;RAP;M;Fs_M_gametes_1
M_gametes_2;2;Total;Fs;gamete;gamete;All;RAP;M;Fs_M_gametes_2
M_gametes_3;3;Total;Fs;gamete;gamete;All;RAP;M;Fs_M_gametes_3
24h_1;1;Total;Fs;S1;S1;All;RAP;X;Fs_zygotes_24h_1
24h_2;2;Total;Fs;S1;S1;All;RAP;X;Fs_zygotes_24h_2
24h_3;3;Total;Fs;S1;S1;All;RAP;X;Fs_zygotes_24h_3
48h_1;1;Total;Fs;S2;S2;All;RAP;X;Fs_zygotes_48h_1
48h_2;2;Total;Fs;S2;S2;All;RAP;X;Fs_zygotes_48h_2
48h_3;3;Total;Fs;S2;S2;All;RAP;X;Fs_zygotes_48h_3
48h_4;4;Total;Fs;S2;S2;All;RAP;X;Fs_zygotes_48h_4
48h_5;5;Total;Fs;S2;S2;All;RAP;X;Fs_zygotes_48h_5
48h_6;6;Total;Fs;S2;S2;All;RAP;X;Fs_zygotes_48h_6
1w_1;1;Total;Fs;S3;S3;All;RAP;X;Fs_zygotes_1w_1
1w_2;2;Total;Fs;S3;S3;All;RAP;X;Fs_zygotes_1w_2
1w_3;3;Total;Fs;S3;S3;All;RAP;X;Fs_zygotes_1w_3
3w_1;1;Total;Fs;S4;S4;All;RAP;X;Fs_zygotes_3w_1
3w_2;2;Total;Fs;S4;S4;All;RAP;X;Fs_zygotes_3w_2
3w_3;3;Total;Fs;S4;S4;All;RAP;X;Fs_zygotes_3w_3
4w_1;1;Total;Fs;S5;S5;All;RAP;X;Fs_zygotes_4w_1
4w_2;2;Total;Fs;S5;S5;All;RAP;X;Fs_zygotes_4w_2
4w_3;3;Total;Fs;S5;S5;All;RAP;X;Fs_zygotes_4w_3
matSP_F_holdfast_1;1;Total;Fs;matSP_holdfast;matSP;holdfast;RAP;F;Fs_Fwild_matSP_holdfast_1
matSP_F_holdfast_2;2;Total;Fs;matSP_holdfast;matSP;holdfast;RAP;F;Fs_Fwild_matSP_holdfast_2
matSP_F_holdfast_3;3;Total;Fs;matSP_holdfast;matSP;holdfast;RAP;F;Fs_Fwild_matSP_holdfast_3
matSP_F_reptip_1;1;Total;Fs;matSP_reptip;matSP;reptip;RAP;F;Fs_Fwild_matSP_reptip_1
matSP_F_reptip_2;2;Total;Fs;matSP_reptip;matSP;reptip;RAP;F;Fs_Fwild_matSP_reptip_2
matSP_F_reptip_3;3;Total;Fs;matSP_reptip;matSP;reptip;RAP;F;Fs_Fwild_matSP_reptip_3
matSP_F_stipe_1;1;Total;Fs;matSP_stipe;matSP;stipe;RAP;F;Fs_Fwild_matSP_stipe_1
matSP_F_stipe_2;2;Total;Fs;matSP_stipe;matSP;stipe;RAP;F;Fs_Fwild_matSP_stipe_2
matSP_F_stipe_3;3;Total;Fs;matSP_stipe;matSP;stipe;RAP;F;Fs_Fwild_matSP_stipe_3
matSP_F_vegtip_1;1;Total;Fs;matSP_vegtip;matSP;vegtip;RAP;F;Fs_Fwild_matSP_vegtip_1
matSP_F_vegtip_2;2;Total;Fs;matSP_vegtip;matSP;vegtip;RAP;F;Fs_Fwild_matSP_vegtip_2
matSP_F_vegtip_3;3;Total;Fs;matSP_vegtip;matSP;vegtip;RAP;F;Fs_Fwild_matSP_vegtip_3
matSP_M_holdfast_1;1;Total;Fs;matSP_holdfast;matSP;holdfast;RAP;M;Fs_Mwild_matSP_holdfast_1
matSP_M_holdfast_2;2;Total;Fs;matSP_holdfast;matSP;holdfast;RAP;M;Fs_Mwild_matSP_holdfast_2
matSP_M_holdfast_3;3;Total;Fs;matSP_holdfast;matSP;holdfast;RAP;M;Fs_Mwild_matSP_holdfast_3
matSP_M_reptip_1;1;Total;Fs;matSP_reptip;matSP;reptip;RAP;M;Fs_Mwild_matSP_reptip_1
matSP_M_reptip_2;2;Total;Fs;matSP_reptip;matSP;reptip;RAP;M;Fs_Mwild_matSP_reptip_2
matSP_M_reptip_3;3;Total;Fs;matSP_reptip;matSP;reptip;RAP;M;Fs_Mwild_matSP_reptip_3
matSP_M_stipe_1;1;Total;Fs;matSP_stipe;matSP;stipe;RAP;M;Fs_Mwild_matSP_stipe_1
matSP_M_stipe_2;2;Total;Fs;matSP_stipe;matSP;stipe;RAP;M;Fs_Mwild_matSP_stipe_2
matSP_M_stipe_3;3;Total;Fs;matSP_stipe;matSP;stipe;RAP;M;Fs_Mwild_matSP_stipe_3
matSP_M_vegtip_1;1;Total;Fs;matSP_vegtip;matSP;vegtip;RAP;M;Fs_Mwild_matSP_vegtip_1
matSP_M_vegtip_2;2;Total;Fs;matSP_vegtip;matSP;vegtip;RAP;M;Fs_Mwild_matSP_vegtip_2
matSP_M_vegtip_3;3;Total;Fs;matSP_vegtip;matSP;vegtip;RAP;M;Fs_Mwild_matSP_vegtip_3